                          Name		       Real [s]	       User [s]	     System [s]	 Child User [s]	Child System [s]
                 createTable64:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                 wc3smallFiles:		       0.020000	       0.000000	       0.000000	       0.000000	       0.000000	
                    load3files:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                          wcFS:		       0.060000	       0.000000	       0.000000	       0.000000	       0.020000	
                          wcFL:		       0.020000	       0.000000	       0.000000	       0.000000	       0.000000	
                          wcFL:		       0.040000	       0.000000	       0.000000	       0.040000	       0.010000	
                        wc8xFS:		       0.020000	       0.000000	       0.000000	       0.000000	       0.000000	
                      load8xFS:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                        wc8xFL:		       0.020000	       0.000000	       0.000000	       0.020000	       0.000000	
                      load8xFL:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                        wc8xFH:		       0.080000	       0.000000	       0.000000	       0.070000	       0.010000	
                      load8xFH:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                        loadFS:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                          rmFS:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                        loadFS:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                          rmFS:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                        loadFS:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                          rmFS:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                 3xloadRemoveS:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
              3xload_3xremoveS:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
            12xload_12xremoveS:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                       wc8xFSH:		       0.060000	       0.000000	       0.000000	       0.060000	       0.000000	
            12xload_12xremoveL:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                       wc32xFS:		       0.030000	       0.000000	       0.000000	       0.010000	       0.010000	
            12xload_12xremoveH:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                  load_removeH:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                     wc10files:		       0.110000	       0.000000	       0.000000	       0.000000	       0.010000	
