                          Name		       Real [s]	       User [s]	     System [s]	
                              :		14328669.510000	       0.250000	       0.010000	
                   wc -2 files:		       0.040000	       0.010000	       0.000000	
                    load block:		       0.020000	       0.020000	       0.000000	
                   wc -1 files:		       0.030000	       0.000000	       0.000000	
                    load block:		       0.000000	       0.000000	       0.000000	
                   wc -1 files:		       0.010000	       0.000000	       0.000000	
                    load block:		       0.000000	       0.000000	       0.000000	
                  remove block:		       0.010000	       0.000000	       0.000000	
                   wc -1 files:		       0.020000	       0.010000	       0.000000	
                    load block:		       0.000000	       0.000000	       0.000000	
                          Name		       Real [s]	       User [s]	     System [s]	
                              :		14328781.220000	       0.270000	       0.010000	
                    wc 2 files:		       0.040000	       0.020000	       0.000000	
                    load block:		       0.020000	       0.020000	       0.000000	
                    wc 1 files:		       0.020000	       0.000000	       0.000000	
                    load block:		       0.000000	       0.000000	       0.000000	
                    wc 1 files:		       0.030000	       0.000000	       0.000000	
                    load block:		       0.000000	       0.000000	       0.000000	
                  remove block:		       0.000000	       0.000000	       0.010000	
                    wc 1 files:		       0.030000	       0.000000	       0.000000	
                    load block:		       0.000000	       0.000000	       0.000000	
